Rank;Country;Traffic Index;Time Index;Time Exp. Index;Inefficiency Index;CO2 Emission Index
;;;(in minutes);;;
1;Egypt;249.50;50.85;6957.86;293.47;9626.05
2;Iran;221.57;48.15;5165.22;222.27;7506.88
3;Russia;209.12;49.13;5781.35;210.21;4823.24
4;Turkey;208.02;48.05;5110.57;217.29;5437.50
5;South Africa;207.99;43.18;2698.83;223.01;9589.10
6;Philippines;207.82;45.97;3960.55;242.66;6945.29
7;Thailand;206.01;43.09;2663.19;280.60;8942.12
8;India;201.08;45.98;3964.01;225.21;5948.79
9;Brazil;197.86;46.12;4036.07;230.65;5331.70
10;Indonesia;182.92;41.40;2048.48;225.16;6600.96
11;China;181.08;44.09;3076.44;183.64;4619.63
12;Japan;177.30;48.35;5290.18;182.63;1823.19
13;Argentina;176.66;42.36;2383.60;156.54;5323.92
14;Malaysia;175.90;39.77;1548.23;194.04;6865.02
15;Hong Kong;172.98;46.40;4181.06;170.78;2386.40
16;Saudi Arabia;171.32;38.70;1268.76;199.23;6870.13
17;Colombia;167.79;44.24;3141.52;162.58;2997.58
18;Singapore;165.24;43.43;2799.36;169.80;3121.53
19;Mexico;162.01;37.06;907.09;181.52;6619.35
20;Qatar;156.55;33.56;376.39;133.46;8470.62
21;Pakistan;155.34;36.85;865.33;157.93;5853.46
22;Macedonia;154.07;40.68;1817.34;176.88;3300.95
23;Israel;153.78;37.76;1052.12;154.73;5061.10
24;Canada;153.64;37.79;1058.27;190.44;4833.32
25;Ukraine;152.91;39.95;1599.76;161.44;3630.75
26;United Arab Emirates;152.21;33.69;391.07;191.15;7209.78
27;United States;145.20;33.35;353.70;173.59;6378.52
28;Italy;143.28;36.49;798.89;162.32;4327.28
29;Netherlands;142.20;35.51;633.65;258.41;4282.85
30;Belgium;141.86;36.19;746.00;183.94;4198.47
31;Vietnam;137.62;36.55;809.11;143.58;3677.64
32;Australia;137.23;34.65;509.62;141.45;4638.92
33;United Kingdom;132.10;35.53;637.29;167.70;3407.72
34;Poland;122.76;34.51;490.93;117.89;3050.26
35;New Zealand;119.83;31.10;167.33;158.03;3997.90
36;Spain;115.80;30.52;134.24;142.02;3817.16
37;Ireland;115.79;32.31;255.08;138.59;3106.41
38;Romania;115.29;33.29;347.01;126.24;2717.93
39;Chile;114.50;33.81;404.19;89.36;2615.05
40;Portugal;113.36;30.56;136.65;118.55;3625.95
41;Greece;108.84;29.09;75.10;123.35;3597.42
42;France;108.63;31.98;229.02;92.04;2695.81
43;Lithuania;106.53;30.24;120.47;125.11;2929.68
44;Hungary;105.90;31.78;213.38;110.22;2402.84
45;Croatia;105.59;30.03;110.82;110.68;2971.58
46;Finland;103.33;32.89;307.55;103.56;1825.08
47;Sweden;102.19;32.05;234.08;107.22;1979.41
48;Slovenia;101.91;25.00;25.00;149.71;3560.52
49;Norway;101.37;29.48;88.35;135.69;2585.39
50;Czech Republic;100.93;32.48;270.14;89.09;1812.41
51;Bulgaria;93.44;28.66;62.65;109.45;2153.45
52;Serbia;93.22;28.37;55.44;105.01;2224.54
53;South Korea;93.18;30.93;157.45;81.49;1653.82
54;Switzerland;90.30;28.73;64.59;118.94;1816.89
55;Germany;87.46;29.07;74.51;101.45;1574.73
56;Denmark;83.80;25.64;25.94;88.75;1904.36
57;Bosnia And Herzegovina;82.17;23.41;23.41;45.22;2226.97
58;Austria;69.36;26.79;31.62;45.25;913.64
Showing 1 to 58 of 58 entries;;;;;;
